state_abbr,county_name,venue_rating,fips
CO,Pueblo,Plaintiff,08101
CO,Rio Blanco,Defense,08103
CO,Rio Grande,Defense,08105
CO,Routt,Defense,08107
CO,Saguache,Defense,08109
CO,San Juan,Defense,08111
CO,San Miguel,Defense,08113
CO,Sedgwick,Defense,08115
CO,Summit,Defense,08117
CO,Teller,Defense,08119
CO,Washington,Defense,08121
CO,Weld,Neutral,08123
CO,Yuma,Defense,08125
CT,Bridgeport (Fairfield Judicial District),Plaintiff,09001
CT,Danbury,Defense,09001
CT,Hartford,Neutral,09003
CT,Litchfield Judicial District (Torrington),Defense,09005
CT,Middlesex,Neutral,09007
CT,New Haven,Neutral,09009
CT,New London,Plaintiff,09011
CT,Norwalk (Stamford/ Norwalk Judicial District),Neutral,09001
CT,Tolland,Defense,09013
CT,Windham,Defense,09015
CT,New Britain Judicial District,Neutral,09003
CT,Waterbury Judicial District,Plaintiff,09009
CT,Norwich ( New London Judicial District),Plaintiff,09011
CT,Meriden (Middlesex Judicial District,Neutral,09007
CT,Ansonia/Milford Judicial District,Neutral,09009
DC,DC,Defense,11001
DE,Kent,Plaintiff,10001
DE,New Castle,Defense,10003
DE,Sussex,Neutral,10005
FL,Alachua,Neutral,12001
FL,Baker,Neutral,12003
FL,Bay,Defense,12005
FL,Bradford,Defense,12007
FL,Brevard,Plaintiff,12009
FL,Broward,Plaintiff,12011
FL,Calhoun,Defense,12013
FL,Charlotte,Defense,12015
FL,Citrus,Neutral,12017
FL,Clay,Neutral,12019
FL,Collier,Neutral,12021
FL,Columbia,Neutral,12023
FL,Dade,Plaintiff,12086
FL,DeSoto,Neutral,12027
FL,Dixie,Neutral,12029
FL,Duval,Plaintiff,12031
FL,Escambia,Neutral,12033
FL,Flagler,Neutral,12035
FL,Franklin,Defense,12037
FL,Gadsden,Plaintiff,12039
FL,Gilchrist,Neutral,12041
FL,Glades,Neutral,12043
FL,Gulf,Defense,12045
FL,Hamilton,Defense,12047
FL,Hardee,Defense,12049
FL,Hendry,Defense,12051
FL,Hernando,Neutral,12053
FL,Highlands,Neutral,12055
FL,Hillsborough,Neutral,12057
FL,Holmes,Neutral,12059
FL,Indian River,Neutral,12061
FL,Jackson,Neutral,12063
FL,Jefferson,Defense,12065
FL,Lafayette,Neutral,12067
FL,Lake,Defense,12069
FL,Lee,Neutral,12071
FL,Leon,Neutral,12073
FL,Levy,Defense,12075
FL,Liberty,Defense,12077
FL,Madison,Defense,12079
FL,Manatee,Defense,12081
FL,Marion,Neutral,12083
FL,Martin,Plaintiff,12085
FL,Monroe,Plaintiff,12087
FL,Nassau,Plaintiff,12089
FL,Okaloosa,Neutral,12091
FL,Okeechobee,Neutral,12093
FL,Orange,Plaintiff,12095
FL,Osceola,Plaintiff,12097
FL,Palm Beach,Plaintiff,12099
FL,Pasco,Defense,12101
FL,Pinellas,Neutral,12103
FL,Polk,Neutral,12105
FL,Putnam,Neutral,12107
FL,St. Johns,Neutral,12109
FL,St. Lucie,Neutral,12111
FL,Santa Rosa,Neutral,12113
FL,Sarasota,Neutral,12115
FL,Seminole,Neutral,12117
FL,Sumter,Defense,12119
FL,Suwannee,Neutral,12121
FL,Taylor,Neutral,12123
FL,Union,Defense,12125
FL,Volusia,Neutral,12127
FL,Wakulla,Defense,12129
FL,Walton,Defense,12131
FL,Washington,Defense,12133
GA,Appling,Neutral,13001
GA,Atkinson,Neutral,13003
GA,Bacon,Neutral,13005
GA,Baker,Neutral,13007
GA,Baldwin,Neutral,13009
GA,Banks,Neutral,13011
GA,Barrow,Plaintiff,13013
GA,Bartow,Plaintiff,13015
GA,Ben Hill,Neutral,13017
GA,Berrien,Neutral,13019
GA,Bibb,Plaintiff,13021
GA,Bleckley,Neutral,13023
GA,Brantley,Neutral,13025
GA,Brooks,Neutral,13027
GA,Bryan,Neutral,13029
GA,Bulloch,Plaintiff,13031
GA,Burke,Neutral,13033
GA,Butts,Neutral,13035
GA,Calhoun,Neutral,13037
GA,Camden,Plaintiff,13039
GA,Candler,Neutral,13043
GA,Carroll,Plaintiff,13045
GA,Catoosa,Plaintiff,13047
GA,Charlton,Neutral,13049
GA,Chatham,Plaintiff,13051
GA,Chattahoochee,Plaintiff,13053
GA,Chattooga,Neutral,13055
GA,Cherokee,Defense,13057
GA,Clarke,Plaintiff,13059
GA,Clay,Neutral,13061
GA,Clayton,Plaintiff,13063
GA,Clinch,Neutral,13065
GA,Cobb,Plaintiff,13067
GA,Coffee,Neutral,13069
GA,Colquitt,Neutral,13071
GA,Columbia,Neutral,13073
GA,Cook,Neutral,13075
GA,Coweta,Plaintiff,13077
GA,Crawford,Neutral,13079
GA,Crisp,Defense,13081
GA,Dade,Plaintiff,13083
GA,Dawson,Defense,13085
GA,De Kalb,Plaintiff,13089
GA,Decatur,Plaintiff,13087
GA,Dodge,Plaintiff,13091
GA,Dooly,Plaintiff,13093
GA,Dougherty,Plaintiff,13095
GA,Douglas,Plaintiff,13097
GA,Early,Neutral,13099
GA,Echols,Neutral,13101
GA,Effingham,Plaintiff,13103
GA,Elbert,Neutral,13105
GA,Emanuel,Neutral,13107
GA,Evans,Neutral,13109
GA,Fannin,Defense,13111
GA,Fayette,Plaintiff,13113
GA,Floyd,Plaintiff,13115
GA,Forsyth,Neutral,13117
GA,Franklin,Neutral,13119
GA,Fulton,Plaintiff,13121
GA,Gilmer,Plaintiff,13123
GA,Glascock,Neutral,13125
GA,Glynn,Plaintiff,13127
GA,Gordon,Plaintiff,13129
GA,Grady,Plaintiff,13131
GA,Greene,Defense,13133
GA,Gwinnett,Plaintiff,13135
GA,Habersham,Plaintiff,13137
GA,Hall,Plaintiff,13139
GA,Hancock,Neutral,13141
GA,Haralson,Plaintiff,13143
GA,Harris,Plaintiff,13145
GA,Hart,Defense,13147
GA,Heard,Neutral,13149
GA,Henry,Plaintiff,13151
GA,Houston,Plaintiff,13153
GA,Irwin,Neutral,13155
GA,Jackson,Neutral,13157
GA,Jasper,Neutral,13159
GA,Jeff Davis,Neutral,13161
GA,Jefferson,Neutral,13163
GA,Jenkins,Neutral,13165
GA,Johnson,Neutral,13167
GA,Jones,Plaintiff,13169
GA,Lamar,Neutral,13171
GA,Lanier,Neutral,13173
GA,Laurens,Plaintiff,13175
GA,Lee,Defense,13177
GA,Liberty,Plaintiff,13179
GA,Lincoln,Neutral,13181
GA,Long,Neutral,13183
GA,Lowndes,Plaintiff,13185
GA,Lumpkin,Neutral,13187
GA,Macon,Neutral,13193
GA,Madison,Neutral,13195
GA,Marion,Neutral,13197
GA,McDuffie,Neutral,13189
GA,McIntosh,Plaintiff,13191
GA,Meriwether,Plaintiff,13199
GA,Miller,Neutral,13201
GA,Mitchell,Neutral,13205
GA,Monroe,Defense,13207
GA,Montgomery,Neutral,13209
GA,Morgan,Neutral,13211
GA,Murray,Neutral,13213
GA,Muscogee,Plaintiff,13215
GA,Newton,Plaintiff,13217
GA,Oconee,Defense,13219
GA,Oglethorpe,Neutral,13221
GA,Paulding,Defense,13223
GA,Peach,Plaintiff,13225
GA,Pickens,Neutral,13227
GA,Pierce,Neutral,13229
GA,Pike,Plaintiff,13231
GA,Polk,Plaintiff,13233
GA,Pulaski,Neutral,13235
GA,Putnam,Neutral,13237
GA,Quitman,Neutral,13239
GA,Rabun,Plaintiff,13241
GA,Randolph,Neutral,13243
