state_abbr,county_name,venue_rating
GA,Harris,Plaintiff
GA,Hart,Defense
GA,Heard,Neutral
GA,Henry,Plaintiff
GA,Houston,Plaintiff
GA,Irwin,Neutral
GA,Jackson,Neutral
GA,Jasper,Neutral
GA,Jeff Davis,Neutral
GA,Jefferson,Neutral
GA,Jenkins,Neutral
GA,Johnson,Neutral
GA,Jones,Plaintiff
GA,Lamar,Neutral
GA,Lanier,Neutral
GA,Laurens,Plaintiff
GA,Lee,Defense
GA,Liberty,Plaintiff
GA,Lincoln,Neutral
GA,Long,Neutral
GA,Lowndes,Plaintiff
GA,Lumpkin,Neutral
GA,Macon,Neutral
GA,Madison,Neutral
GA,Marion,Neutral
GA,McDuffie,Neutral
GA,McIntosh,Plaintiff
GA,Meriwether,Plaintiff
GA,Miller,Neutral
GA,Mitchell,Neutral
GA,Monroe,Defense
GA,Montgomery,Neutral
GA,Morgan,Neutral
GA,Murray,Neutral
GA,Muscogee,Plaintiff
GA,Newton,Plaintiff
GA,Oconee,Defense
GA,Oglethorpe,Neutral
GA,Paulding,Defense
GA,Peach,Plaintiff
GA,Pickens,Neutral
GA,Pierce,Neutral
GA,Pike,Plaintiff
GA,Polk,Plaintiff
GA,Pulaski,Neutral
GA,Putnam,Neutral
GA,Quitman,Neutral
GA,Rabun,Plaintiff
GA,Randolph,Neutral
GA,Richmond,Plaintiff
GA,Rockdale,Plaintiff
GA,Schley,Neutral
GA,Screven,Neutral
GA,Seminole,Neutral
GA,Spalding,Plaintiff
GA,Stephens,Defense
GA,Stewart,Neutral
GA,Sumter,Neutral
GA,Talbot,Neutral
GA,Taliaferro,Neutral
GA,Tattnall,Neutral
GA,Taylor,Neutral
GA,Telfair,Neutral
GA,Terrell,Neutral
GA,Thomas,Plaintiff
GA,Tift,Plaintiff
GA,Toombs,Neutral
GA,Towns,Neutral
GA,Treutlen,Neutral
GA,Troup,Plaintiff
GA,Turner,Neutral
GA,Twiggs,Plaintiff
GA,Union,Neutral
GA,Upson,Neutral
GA,Walker,Neutral
GA,Walton,Defense
GA,Ware,Neutral
GA,Warren,Neutral
GA,Washington,Neutral
GA,Wayne,Neutral
GA,Webster,Defense
GA,Wheeler,Neutral
GA,White,Neutral
GA,Whitfield,Plaintiff
GA,Wilcox,Neutral
GA,Wilkes,Neutral
GA,Wilkinson,Neutral
GA,Worth,Neutral
HI,Hilo,Plaintiff
HI,Honolulu,Neutral
HI,Lana'i,Plaintiff
HI,Maui,Plaintiff
HI,Molokai,Plaintiff
HI,Kaua’i,Plaintiff
HI,Kahului,Plaintiff
HI,Oahu,Neutral
IA,Adair,Defense
IA,Adams,Defense
IA,Allamakee,Defense
IA,Appanoose,Neutral
IA,Audubon,Defense
IA,Benton,Neutral
IA,Black Hawk,Plaintiff
IA,Boone,Defense
IA,Bremer,Neutral
IA,Buchanan,Neutral
IA,Buena Vista,Defense
IA,Butler,Neutral
IA,Calhoun,Defense
IA,Carroll,Defense
IA,Cass,Defense
IA,Cedar,Neutral
IA,Cerro Gordo,Defense
IA,Cherokee,Defense
IA,Chickasaw,Defense
IA,Clarke,Defense
IA,Clay,Defense
IA,Clayton,Neutral
IA,Clinton,Neutral
IA,Crawford,Defense
IA,Dallas,Defense
IA,Davis,Neutral
IA,Decatur,Defense
IA,Delaware,Neutral
IA,Des Moines,Neutral
IA,Dickinson,Defense
IA,Dubuque,Neutral
IA,Emmet,Defense
IA,Fayette,Neutral
IA,Floyd,Defense
IA,Franklin,Defense
IA,Fremont,Defense
IA,Greene,Defense
IA,Grundy,Neutral
IA,Guthrie,Defense
IA,Hamilton,Defense
IA,Hancock,Defense
IA,Hardin,Defense
IA,Harrison,Defense
IA,Henry,Neutral
IA,Howard,Defense
IA,Humboldt,Defense
IA,Ida,Defense
IA,Iowa,Neutral
IA,Jackson,Neutral
IA,Jasper,Neutral
IA,Jefferson,Neutral
IA,Johnson,Plaintiff
IA,Jones,Neutral
IA,Keokuk,Neutral
IA,Kossuth,Defense
IA,Lee,Neutral
IA,Linn,Plaintiff
IA,Louisa,Neutral
IA,Lucas,Neutral
IA,Lyon,Defense
IA,Madison,Defense
IA,Mahaska,Neutral
IA,Marion,Neutral
IA,Marshall,Defense
IA,Mills,Defense
IA,Mitchell,Defense
IA,Monona,Defense
IA,Monroe,Neutral
IA,Montgomery,Defense
IA,Muscatine,Neutral
IA,O'Brien,Defense
IA,Osceola,Defense
IA,Page,Defense
IA,Palo Alto,Defense
IA,Plymouth,Defense
IA,Pocahontas,Defense
IA,Polk,Plaintiff
IA,Pottawattamie,Defense
IA,Poweshiek,Neutral
IA,Ringgold,Defense
IA,Sac,Defense
IA,Scott,Plaintiff
IA,Shelby,Defense
IA,Sioux,Defense
IA,Story,Plaintiff
IA,Tama,Neutral
IA,Taylor,Defense
IA,Union,Defense
IA,Van Buren,Neutral
IA,Wapello,Neutral
IA,Warren,Defense
IA,Washington,Neutral
IA,Wayne,Neutral
